RunningID,Ra,Dec,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID
209.0,4404.61,16.1054,2911.86,176.21,3996.19,264.461,4562.83,386.678,4.70286,-0.527914,1.0,16.6754,0.0657032,16.6717,0.0718522,16.6958,0.0920112,51
177.0,3293.52,10.2689,19774.2,182.537,26014.1,271.273,32787.8,393.509,4.70101,-0.527008,1.0,14.5956,0.0100225,14.6378,0.011322,14.5546,0.0130307,52
156.0,3159.15,13.4678,13492.2,179.437,21272.0,269.591,31036.9,393.062,4.70079,-0.526892,-1.0,15.0106,0.0144396,14.8563,0.0137601,14.6142,0.0137502,53
79.0,4288.42,8.2491,85955.2,214.605,128103.0,306.281,150072.0,422.516,4.70266,-0.52783,-1.0,13.0001,0.00271077,12.9069,0.00259589,12.9032,0.00305683,54
159.0,4270.87,14.0564,9205.38,179.363,12802.3,267.614,15252.2,389.403,4.70263,-0.527807,-1.0,15.4257,0.0211552,15.4076,0.0226959,15.3856,0.02772,55
163.0,3026.86,13.2113,19621.4,182.46,27044.5,271.633,31189.0,393.099,4.70057,-0.526784,1.0,14.604,0.0100963,14.5956,0.0109051,14.6089,0.0136844,56
184.0,3585.61,14.6543,9129.97,177.252,13064.4,266.657,15073.1,388.994,4.7015,-0.527242,-1.0,15.4346,0.0210789,15.3856,0.0221611,15.3984,0.0280198,57
197.0,6827.94,15.9521,4069.26,173.61,5672.68,264.306,6921.01,387.197,4.70689,-0.529905,-1.0,16.312,0.0463219,16.2913,0.0505877,16.2435,0.060742,58
143.0,4114.89,13.7026,19240.8,184.37,26678.9,272.569,31716.6,393.604,4.70237,-0.527679,-1.0,14.6252,0.0104038,14.6104,0.0110926,14.5907,0.0134741,59
186.0,6515.6,14.4699,8753.27,175.923,12290.3,266.725,14151.0,389.151,4.70637,-0.529651,-1.0,15.4804,0.0218212,15.4519,0.0235629,15.467,0.0298577,60
179.0,3748.57,14.8571,13508.8,181.961,18718.6,272.21,21286.0,395.521,4.70177,-0.527376,-1.0,15.0093,0.0146247,14.9951,0.0157891,15.0237,0.0201745,61
182.0,4452.81,12.823,53240.0,200.32,74282.0,288.868,89107.6,407.877,4.70293,-0.527959,-1.0,13.5202,0.00408518,13.4986,0.00422223,13.4691,0.00496981,62
234.0,4843.65,16.999,4815.68,177.346,6717.04,265.537,8134.75,387.641,4.70359,-0.528274,1.0,16.1292,0.0399843,16.1079,0.0429214,16.0681,0.0517382,63
201.0,6073.63,16.1586,10277.4,176.675,14614.6,267.537,17350.0,389.936,4.70563,-0.529286,-1.0,15.3061,0.0186646,15.2638,0.0198757,15.2457,0.0244017,64
38.0,6535.0,5.40958,14916.5,178.982,20899.1,269.821,24941.6,391.948,4.70639,-0.52968,-1.0,14.9016,0.0130277,14.8755,0.0140176,14.8516,0.017062,65
214.0,6535.0,15.5401,17649.2,180.352,26800.8,271.892,34030.0,394.21,4.7064,-0.529665,-1.0,14.719,0.0110949,14.6054,0.0110147,14.5143,0.0125774,66
