n,YJ,JH
277,-0.375599999999999,1.8058
278,-0.169799999999999,1.6049
279,-0.0178000000000011,1.6966
280,-0.0268999999999977,1.4132
281,0.0472000000000001,1.3378
282,-0.0399999999999991,1.5477
283,-0.204499999999999,1.4192
284,0.0549999999999997,1.66
285,-0.0666000000000011,1.4293
286,-0.350899999999999,1.1707
287,-0.109100000000002,1.4467
288,-0.0548999999999999,1.3587
289,-0.122500000000002,1.531
290,-0.118100000000002,1.3688
291,-0.241800000000001,1.4284
292,-0.142199999999999,1.6757
293,-0.0132000000000012,1.2726
294,0.0903999999999989,1.514
295,-0.332699999999999,1.3675
296,0.0865000000000009,1.2746
297,0.394100000000002,1.447
298,-0.104700000000001,1.099
299,-0.258600000000001,-0.1623
300,-0.107200000000001,1.1911
301,-2.2287,2.5037
302,-0.190899999999999,1.3961
303,-0.130600000000001,1.6093
304,0.244,2.1365
305,0.0542000000000016,1.3621
306,-0.0143999999999984,1.6116
307,-0.1601,1.5996
308,-0.496299999999998,1.3101
309,0.0112000000000023,1.5377
310,0.0130000000000017,1.5918
311,-0.0408000000000008,1.5215
312,-0.167400000000001,1.3783
313,-0.2149,1.2049
314,-0.0916999999999994,1.5853
315,-0.0740000000000016,1.57
316,-0.167000000000002,1.4395
317,-0.154299999999999,1.3637
318,0.00760000000000005,1.499
319,-0.1563,1.4391
320,-0.137300000000003,1.4727
321,-0.102599999999999,1.4709
322,-0.0951999999999984,1.4575
323,-0.178700000000003,1.281
324,-0.933399999999999,2.3825
325,-0.0593000000000004,1.1774
326,-0.0740000000000016,1.5631
327,-0.412199999999999,0.996699999999999
328,-0.137,1.5121
329,-0.2936,-0.598700000000001
330,0.0573999999999977,1.7535
331,-0.229900000000001,1.7522
332,-0.251999999999999,1.4887
333,0.0352999999999994,1.4031
334,-0.442100000000002,1.1473
335,-0.534700000000001,1.3721
336,-0.025500000000001,1.1955
337,-0.331400000000002,1.2789
338,-0.528499999999998,1.7736
339,-0.200200000000002,1.7431
340,-0.0723000000000003,1.5027
341,0.0416000000000007,1.776
342,-0.0595999999999997,1.5792
343,-0.0980999999999987,1.5466
344,0.0799999999999983,1.6863
345,-0.135000000000002,1.5308
346,-0.193000000000001,1.5357
347,-0.066399999999998,1.5565
348,-0.1198,1.4759
349,-0.119499999999999,1.494
350,-0.1615,1.7558
351,-0.0450000000000017,1.5736
352,-0.5427,1.6439
353,-1.5977,1.6739
354,-0.0533999999999999,1.5518
355,0.471699999999998,1.415
356,-0.1557,1.3717
357,0.0405999999999977,1.5034
358,-0.0041000000000011,1.6126
359,-0.1723,1.4291
360,-0.273299999999999,1.5239
361,-0.00890000000000057,0.9686
362,-0.2042,1.4157
363,0.0063999999999993,1.6129
364,0.175700000000001,1.8909
365,0.035499999999999,1.6599
366,-0.0121000000000002,1.5865
367,0.0732999999999997,1.5036
368,-0.172899999999998,1.4232
369,0.0420000000000016,1.6548
370,-0.291399999999999,1.4704
371,-0.241299999999999,1.3333
372,-0.2578,1.4754
373,0.0743000000000009,1.5625
374,0.0291999999999994,1.6202
375,-0.2194,1.5054
376,-0.0960000000000001,1.4777
377,-0.0579999999999998,1.3339
378,0.0228999999999999,1.3696
379,-0.138299999999997,1.3658
380,0.00370000000000203,1.4887
381,-0.150199999999998,1.3538
382,-0.233700000000001,1.2628
383,0.1083,1.5961
384,-0.153700000000001,1.5325
385,-0.1173,1.5139
386,-0.0543000000000013,1.5784
387,-0.161999999999999,1.3977
388,0.0586999999999982,1.6747
389,-0.0142999999999986,1.5396
390,-0.339399999999998,1.1492
391,-0.242899999999999,1.4098
392,0.0579000000000001,1.6136
393,-0.0818000000000012,1.4573
394,-0.0690999999999988,1.4569
395,-0.1455,1.3795
396,-0.248600000000003,1.2821
397,-0.300000000000001,1.1784
398,-0.0287999999999968,1.5526
399,-0.0350000000000001,1.599
400,-0.165499999999998,1.5948
401,-0.121500000000001,1.5858
402,-0.0354000000000028,1.3973
403,0.132999999999999,1.4138
404,-0.179300000000001,1.4152
405,-0.0259999999999998,1.4766
406,-0.0146000000000015,1.556
407,0.111499999999999,1.5994
408,-0.201599999999999,1.4189
409,-0.00799999999999912,1.3068
410,-0.130000000000003,1.4622
411,0.0506000000000029,1.639
412,0.0179999999999971,1.6473
413,-0.158299999999999,1.332
414,-0.0815999999999981,1.4234
415,-0.097999999999999,1.9315
416,0.0069999999999979,1.4415
417,0.0431000000000008,1.4192
418,-0.0711000000000013,1.7871
419,0.0138999999999996,1.4287
420,-0.3477,1.0572
421,-0.142999999999997,1.3519
422,0.000500000000002387,1.6094
423,-0.0151000000000003,1.6055
424,-0.0281999999999982,1.5677
425,-0.363099999999999,1.1439
426,-0.0134000000000007,1.6896
427,-0.279900000000001,1.274
428,0.0908999999999978,1.7296
429,0.0452999999999975,1.5729
430,-0.269199999999998,1.245
431,-0.0256999999999969,1.3734
432,-0.102599999999999,1.4893
433,-0.153299999999998,1.4372
434,-0.122899999999998,1.4947
435,-0.251000000000001,1.2966
436,0.0446000000000026,1.5255
437,-0.000299999999999301,1.5461
438,-0.219900000000003,1.4937
439,-0.2377,1.5461
440,0.0823,1.5644
441,-0.0873999999999988,1.3466
